Aegean Airlines;22 x 17.7 x 9.8;17.6
Aer Lingus;21.5 x 15.5 x 9.5;22
Aeroflot;21.6 x 15.7 x 9.8;22
Aerolineas Argentinas;21.6 x 13.7 x 9.8;18
Aeroméxico;21.5 x 15.7 x 10;22
Air Asia;22 x 14 x 9;15.4
Air Astana;22 x 17.7 x 9.8;17.6
Air Austral;21.6 x 17.7 x 7.8;22
Air Baltic;21.6 x 15.7 x 9;17.6
Air Canada;21.5 x 15.5 x 9
Air China;22 x 16 x 8;11
Air Corsica;21.5 x 13.5 x 10;17.6
Air Europa;21.5 x 15.5 x 9.5;22
Air France;21.7 x 13.8 x 9.9;26
Air India;22 x 14 x 10;17.6
Air Italy;21.5 x 15.7 x 7.8;17.6
Air Macau;22 x 14 x 9;15.4
Air Malta;21.5 x 15.5 x 8;22
Air Mauritius;45.2 linear;15.4
Air Moldova;19.6 x 15.7 x 9.8;17.6
Air New Zealand;46.5 linear;15
Air Serbia;21.6 x 15.7 x 9;17.6
Air Tahiti;17 x 13 x 7;11
Air Tahiti Nui;45 linear;22
Air Transat;20 x 16 x 9;22
Air Vanuatu;18.9 x 13.3 x 9;11
Alaska Airlines;22 x 14 x 9
Alitalia;21.5 x 13.5 x 10;17.6
Allegiant Air;22 x 14 x 9
American Airlines;22 x 14 x 9
ANA;22 x 16 x 10;22
Armenia Aircompany;21.6 x 15.7 x 7.8;15.4
Asiana Airlines;21.6 x 15.7 x 7.8;22
Astra Airlines;19.6 x 11.8 x 7.8;15.4
Atlantic Airways;19.5 x 15.5 x 10;17.6
Atlas Global;22 x 17.7 x 9.8;17.6
Aurigny;21.6 x 14.1 x 7.8;22
Austrian Airlines;21.5 x 15.5 x 9;17.6
Avianca Airlines;22 x 14 x 10;22
Azerbaijan Airlines;21.6 x 15.7 x 9;22
Azores Airlines;21.6 x 15.7 x 7.8;17
Azul;45.2 linear;22
Bahamasair;22 x 14 x 9;20
Bangkok Airways;22 x 14 x 9;11
Belavia;21.6 x 15.5 x 8;17.6
BH Air;23.6 x 15.7 x 11.8;15.4
Blue Air;21.6 x 15.7 x 7.8;22
Blue Panorama Airlines;21.5 x 15.5 x 8;22
British Airways;22 x 18 x 10;51
Brussels Airlines;21.5 x 15.5 x 9;26.5
Bulgaria Air;21.6 x 15.7 x 7.8;22
Cambodia Angkor Air;22 x 11 x 9;15
Cape Air;45 linear;20
Caribbean Airlines;22 x 14 x 9;22
Carpatair;21.7 x 15.7 x 7.9;11
Cathay Pacific;22 x 14 x 9;15
Cayman Airways;24 x 16 x 11;15
Cebu Pacific;22 x 14 x 9;15.4
China Airlines;22 x 14 x 9;15.4
China Eastern;21.6 x 15.8 x 7.9;22
China Southern;45 linear;11
Condor;21.5 x 15.5 x 8;17.6
Copa Airlines;22 x 14 x 10;22
Corsair International;21.5 x 15.5 x 8;26.5
Croatia Airlines;21.5 x 15.5 x 8;17.6
Cubana;45 linear;11
Czech Airlines;22 x 17.5 x 9.5;17.6
Delta Air Lines;22 x 14 x 9
easyJet;22 x 17.7 x 9.8
Edelweiss;21.6 x 15.7 x 9;17.6
El Al;22 x 17.7 x 9.8;17.6
Emirates;22 x 15 x 8;15
Ethiopian Airlines;21.6 x 15.7 x 9;15.4
Etihad Airways;19.6 x 15.7 x 9.8;15
Eurowings;21.5 x 15.5 x 9;17.6
Eva Air;22 x 14 x 9;15
Fiji Airways;21.6 x 15.7 x 9;15
Finnair;22 x 18 x 10;17.5
Flybe;21.5 x 13.7 x 7.8;22
Frontier Airlines;18 x 14 x 8
Garuda Indonesia;22 x 14 x 9;15.4
Georgian Airways;45.2 linear;17.6
GOL Airlines;21 x 13 x 9;22
Gulf Air;17 x 15 x 12;13.2
Hainan Airlines;21.6 x 15.7 x 7.8;11
Hawaiian Airlines;22 x 14 x 9;25
Helvetic Airways;21.5 x 15.5 x 8;11
HK Express;22 x 14 x 9;15.4
Hong Kong Airlines;22 x 14 x 9;15
Iberia;21.5 x 17.7 x 9.8
Icelandair;21.6 x 15.7 x 7.8;22
IndiGo Airlines;21.6 x 13.7 x 9.8;15.4
Interjet;21 x 15 x 9;22
Japan Airlines;22 x 16 x 10;22
Jet Time;21.5 x 15.5 x 8;11
Jet2.com;22 x 17.7 x 9.8;22
JetBlue Airways;22 x 14 x 9
Jetstar;22 x 14 x 9;15.4
Kenya Airways;21.5 x 13.7 x 9.8;26.4
KLM Royal Dutch Airlines;21.5 x 13.5 x 10;26
Korean Air;21.5 x 15.7 x 7.8;25
Kulula.com;22 x 14 x 9;15.4
Kuwait Airways;22 x 14 x 9;15.4
Lao Airlines;24 x 12 x 7;15.4
LATAM Airlines;21 x 14 x 9;17
LIAT Airlines;21 x 14 x 8;15
Loganair;15.7 x 13.7 x 7;13
LOT Polish Airlines;21.5 x 15.5 x 9;17.6
Lufthansa;21.5 x 15.7 x 9;17.6
Luxair;21.6 x 15.7 x 9;17.6
Malaysia Airlines;22 x 14 x 9;15
Mango Airlines;22 x 14 x 9;15.4
MIAT Mongolian Airlines;21.6 x 15.7 x 7.8;11
Montenegro Airlines;21.5 x 15.7 x 7.8;17.6
NokAir;22 x 14 x 9;15.4
Norwegian;21.5 x 15.9 x 9;22
Olympic Air;21.5 x 15.5 x 9;17.6
Oman Air;45 linear;15.4
Peach;19.6 x 15.7 x 9.8;15.4
Pegasus Airlines;21.5 x 15.5 x 8;17.6
Philippines Airlines;22 x 14 x 9;15
Porter Airlines;17 x 13 x 6;20
Qantas;22 x 14 x 9;15
Qatar Airways;20 x 15 x 10;15
Ravn Alaska;18 x 14 x 10;20
REX Regional Express Airlines;19 x 13 x 9;15.4
Royal Air Maroc;45 linear;22
Royal Brunei Airlines;22 x 15 x 8;15
Royal Jordanian Airlines;20 x 16 x 9;15.4
Ryanair;15.7 x 9.8 x 7.8
S7 Airlines;21.6 x 15.7 x 9;22
SAS Scandinavian Airlines;21.6 x 15.7 x 9;17.6
Saudia Airlines;45 linear;15.4
Scoot Airlines;21.2 x 14.9 x 9;22
Singapore Airlines;45.2 linear;15.4
SmartWings;22 x 17.7 x 9.8;17.6
South African Airways;22 x 14 x 9;17.6
Southwest Airlines;24 x 16 x 10
SpiceJet;21.6 x 13.7 x 9.8;15.4
Spirit Airlines;18 x 14 x 8
Spring Airlines;15.7 x 11.8 x 7.8;11
Sri Lankan Airlines;22 x 14 x 9;15.4
Sun Country Airlines;17 x 13 x 9
SunExpress;21.5 x 15.5 x 8;16
Sunwing Airlines;20 x 16 x 9;11
Swiss International Air Lines;21.5 x 15.5 x 9;17.6
TAP Portugal;22 x 16 x 8;17
TAROM;21.6 x 15.7 x 7.8;22
Thai Airways;22 x 18 x 10;15
Thai Lion Air;15.7 x 11.8 x 7.8;15.4
TigerAir Australia;21.2 x 14.9 x 9;15.4
Transavia;17.7 x 15.7 x 9.8;22
TUIfly;21.6 x 15.7 x 7.8;13.2
Turkish Airlines;21.6 x 15.7 x 9;17.6
Ukraine International Airlines;21.6 x 15.7 x 7.8;15.4
United Airlines;22 x 14 x 9
UTair;21.6 x 15.7 x 7.8;22
Vanilla Air;21.6 x 15.7 x 9.8;15.4
Vietnam Airlines;22 x 14 x 9;26
Virgin Atlantic Airways;22 x 14 x 9;22
Virgin Australia;18.9 x 13.3 x 9;15.4
VivaAerobus;21.6 x 15.7 x 7.8;22
Volaris;22.4 x 15.7 x 12.9;22
Vueling;21.6 x 15.7 x 7.8;22
WestJet;21 x 15 x 9
Wizz Air;15.7 x 11.8 x 7.8;22
Xiamen Airlines;21.6 x 15.7 x 7.8;11
XL Airways France;21.7 x 13.8 x 9.8;22;
